StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Q1 ",Q2,Q3,QID49,QID50,QID51,QID52,QID54,QID55,QID71,QID56,QID57,QID58,QID59,QID60,QID61,QID62,QID63,QID64,QID65,QID72,QID66,QID67,QID68," "
2024-02-28 13:53:17,2024-02-28 13:55:02,Survey Preview,,100,104,True,2024-02-28 13:55:03,R_7VjEqMOmf4n52kp,,,,,42.3474,-71.1582,preview,EN,Female,24-29,2,,,,,,,,,,,,Dumplings,Caesar Salad,Rustic Farmstand Veggie Soup,Original Grilled Chicken Sandwich,The Almond Butter Açaí Bowl,Iced Latte,Espresso Martini,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Creamy Crispy Pancetta & Aged Parmesan Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 14:10:43,2024-02-28 14:14:23,IP Address,99.245.100.38,100,219,True,2024-02-28 14:14:23,R_3QEfWw3LAM8V0Eu,,,,,43.5366,-79.6919,anonymous,EN,Male,24-29,4,Garlic Bread,Pasta Salad,Slow-Cooker Vegetable Soup,Grilled Cheese,Tropical Mango Açaí,Iced Latte,Espresso Martini,Margherita,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 14:12:31,2024-02-28 14:15:57,IP Address,24.44.26.73,100,206,True,2024-02-28 14:15:57,R_7Odkq1XiKjpdsMF,,,,,40.6981,-73.7045,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Dumplings,Sun-Kissed Veggie Pasta Salad,Broccoli Cheddar Soup,Golden Crisp Grilled Cheese Delight,Tropical Mango Açaí,Iced Latte,Dry Martini,Barbecue Chicken Pizza,Creamy Crispy Pancetta & Aged Parmesan Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Classic Tiramisu
2024-02-28 14:14:00,2024-02-28 14:16:10,IP Address,24.34.211.171,100,129,True,2024-02-28 14:16:10,R_1PzZ4CQf7mJ9l2B,,,,,42.3474,-71.1582,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Dumplings,Caesar Salad,Classic Tomato Soup,Original Grilled Chicken Sandwich,Original Berry Açaí,Iced Latte,Mojito,Pepperoni & Cheese Pizza,Gnocchi Tomato Sauce,Classic Ramen Noodles,Classic Tiramisu
2024-02-28 14:16:04,2024-02-28 14:19:04,IP Address,223.190.84.7,100,180,True,2024-02-28 14:19:05,R_4ZDOE2N7LN9LKoR,,,,,28.4597,77.0282,anonymous,EN,Male,18-23,3,Bruschetta,Caesar Salad,Authentic Roasted Pumpkin Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Traditional Vietnamese Coffee,Whiskey Sour,Original New York Style Pizza,Spaghetti Carbonara,Staple Pad Thai Noodles,Biscoff Banana Pudding,,,,,,,,,,,
2024-02-28 14:16:14,2024-02-28 14:19:35,IP Address,122.161.53.16,100,200,True,2024-02-28 14:19:35,R_42mZxmhcSWSrAXh,,,,,28.6145,77.3063,anonymous,EN,Female,24-29,3,Dumplings,Pasta Salad,Classic Tomato Soup,Grilled Cheese,Original Berry Açaí,Traditional Vietnamese Coffee,Whiskey Sour,Margherita,Traditional Macaroni & Cheese,Classic Ramen Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 14:19:45,2024-02-28 14:22:07,IP Address,76.33.141.138,100,142,True,2024-02-28 14:22:08,R_62hEJbGKfKGd6Em,,,,,34.0648,-118.4414,anonymous,EN,Male,18-23,4,,,,,,,,,,,,Dumplings,Caesar Salad,Authentic Roasted Pumpkin Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Traditional Vietnamese Coffee,Whiskey Sour,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Pesto Pasta,Staple Pad Thai Noodles,Classic Tiramisu
2024-02-28 14:20:44,2024-02-28 14:23:19,IP Address,174.169.53.158,100,155,True,2024-02-28 14:23:20,R_3j07HbSIVbH5r9R,,,,,42.3268,-71.1341,anonymous,EN,Male,18-23,3,,,,,,,,,,,,Garlic Bread,Tomato Couscous Salad,Broccoli Cheddar Soup,Mediterranean Veggie Sandwich,Tropical Mango Açaí,Iced Latte,Espresso Martini,Original New York Style Pizza,Pesto Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Classic Tiramisu
2024-02-28 14:21:18,2024-02-28 14:23:55,IP Address,50.221.159.77,100,157,True,2024-02-28 14:23:56,R_6lMCNjCCTZVBKpP,,,,,42.3208,-71.2353,anonymous,EN,Male,24-29,3,Garlic Bread,Caesar Salad,Slow-Cooker Vegetable Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Espresso Martini,Original New York Style Pizza,One-Pan Chicken Alfredo Penne,Fried Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 14:10:12,2024-02-28 14:24:01,IP Address,128.197.29.225,100,828,True,2024-02-28 14:24:02,R_73fVPUTEGcL16dG,,,,,42.3464,-71.0975,anonymous,EN,Female,24-29,2,Dumplings,Caesar Salad,Bistro French Onion Soup,Original Grilled Chicken Sandwich,Original Berry Açaí,Black Coffee,Mojito,Original New York Style Pizza,Spaghetti Carbonara,Eggplant Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 14:22:13,2024-02-28 14:25:02,IP Address,49.36.121.114,100,169,True,2024-02-28 14:25:03,R_4D6oYzNfr7MZCfy,,,,,19.0748,72.8856,anonymous,EN,Female,18-23,3,,,,,,,,,,,,Classic Humus,Sun-Kissed Veggie Pasta Salad,Broccoli Cheddar Soup,Bacon Lettuce Tomato Wrap,Tropical Mango Açaí,Traditional Vietnamese Coffee,Espresso Martini,Pepperoni & Cheese Pizza,Creamy Crispy Pancetta & Aged Parmesan Pasta,Staple Pad Thai Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 14:26:21,2024-02-28 14:27:57,IP Address,172.58.229.133,100,95,True,2024-02-28 14:27:57,R_11yrVetDlXzl7H3,,,,,40.7252,-73.944,anonymous,EN,Male,24-29,3,Garlic Bread,Pasta Salad,Bistro French Onion Soup,Mediterranean Veggie Sandwich,Tropical Mango Açaí,Iced Latte,Mojito,Margherita,Gnocchi Tomato Sauce,Fried Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 14:27:44,2024-02-28 14:30:29,IP Address,216.165.95.162,100,165,True,2024-02-28 14:30:29,R_1Oj1q3DZQPeRqtT,,,,,40.7359,-73.9904,anonymous,EN,Male,24-29,3,Bruschetta,Classic Potato Salad,Broccoli Cheddar Soup,Mediterranean Veggie Sandwich,Tropical Mango Açaí,Iced Latte,Mojito,Original New York Style Pizza,Pesto Pasta,Classic Ramen Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 14:33:29,2024-02-28 14:38:08,IP Address,172.56.199.38,100,278,True,2024-02-28 14:38:08,R_6MEvNxmqTVyKPAp,,,,,42.415,-71.0527,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Garlic Bread,Caesar Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Macchiato Iced Coffee,Dry Martini,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Traditional Macaroni & Cheese,Staple Pad Thai Noodles,Classic Tiramisu
2024-02-28 14:38:29,2024-02-28 14:40:19,IP Address,174.196.201.33,100,109,True,2024-02-28 14:40:20,R_7ewAW24eFLMOGVX,,,,,42.3531,-71.0958,anonymous,EN,Male,18-23,3,,,,,,,,,,,,Cherry Tomato & Basil Crostini,Caesar Salad,Broccoli Cheddar Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Macchiato Iced Coffee,Mojito,Original New York Style Pizza,Pesto Pasta,Eggplant Noodles,Classic Tiramisu
2024-02-28 14:40:54,2024-02-28 14:43:04,IP Address,166.199.98.54,100,130,True,2024-02-28 14:43:04,R_7Q4oqczMYRc9cWa,,,,,40.7252,-73.944,anonymous,EN,Male,18-23,3,Garlic Bread,Pasta Salad,Slow-Cooker Vegetable Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Iced Latte,Mojito,Hawaiian Pizza,Pesto Pasta,Fried Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 14:41:50,2024-02-28 14:43:36,IP Address,103.184.82.158,100,105,True,2024-02-28 14:43:36,R_44LXWSuKugPsZsU,,,,,19.0748,72.8856,anonymous,EN,Male,24-29,5,,,,,,,,,,,,Dumplings,Caesar Salad,Classic Tomato Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Traditional Vietnamese Coffee,Whiskey Sour,Pepperoni & Cheese Pizza,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 14:47:04,2024-02-28 14:49:42,IP Address,129.2.192.133,100,158,True,2024-02-28 14:49:43,R_3QiNuG2ADCQVkwY,,,,,38.9965,-76.934,anonymous,EN,Male,24-29,3,,,,,,,,,,,,Dumplings,Sun-Kissed Veggie Pasta Salad,Classic Tomato Soup,Golden Crisp Grilled Cheese Delight,Tropical Mango Açaí,Iced Latte,Mojito,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Pesto Pasta,Classic Ramen Noodles,Classic Tiramisu
2024-02-28 14:53:11,2024-02-28 14:55:47,IP Address,49.43.3.221,100,156,True,2024-02-28 14:55:48,R_4g8vDpMkC64VR7T,,,,,22.717,75.8337,anonymous,EN,Male,24-29,4,Dumplings,Caesar Salad,Classic Tomato Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Whiskey Sour,Original New York Style Pizza,Traditional Macaroni & Cheese,Classic Ramen Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 14:55:50,2024-02-28 14:58:59,IP Address,103.178.60.109,100,188,True,2024-02-28 14:59:00,R_4f0T0gnXGPaQuc6,,,,,28.6542,77.2373,anonymous,EN,Male,24-29,3,Garlic Bread,Pasta Salad,Slow-Cooker Vegetable Soup,Original Grilled Chicken Sandwich,Green Smoothie Bowl,Iced Latte,Mojito,Barbecue Chicken Pizza,Pesto Pasta,Fried Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 14:56:18,2024-02-28 15:01:05,IP Address,180.148.39.95,100,287,True,2024-02-28 15:01:06,R_4hLPY6EjJ8a9Hp2,,,,,19.0748,72.8856,anonymous,EN,Male,18-23,3,,,,,,,,,,,,Dumplings,Caesar Salad,Classic Tomato Soup,Original Grilled Chicken Sandwich,Original Berry Açaí,Iced Latte,Whiskey Sour,Barbecue Chicken Pizza,Traditional Macaroni & Cheese,Classic Ramen Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 15:03:33,2024-02-28 15:05:41,IP Address,128.197.29.241,100,127,True,2024-02-28 15:05:41,R_5FRFo3q52Cdyzst,,,,,42.3464,-71.0975,anonymous,EN,Male,18-23,4,,,,,,,,,,,,Classic Humus,Caesar Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Traditional Vietnamese Coffee,Dry Martini,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Traditional Macaroni & Cheese,Crispy Stir-Fried Noodles with Soy Glaze,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 15:08:11,2024-02-28 15:10:20,IP Address,174.196.210.230,100,128,True,2024-02-28 15:10:20,R_5LXxG4Alw0LpKww,,,,,42.3562,-71.0631,anonymous,EN,Male,18-23,5,Bruschetta,Caesar Salad,Classic Tomato Soup,Original Grilled Chicken Sandwich,The Almond Butter Açaí Bowl,Iced Matcha,Mojito,Barbecue Chicken Pizza,One-Pan Chicken Alfredo Penne,Fried Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 15:09:05,2024-02-28 15:13:35,IP Address,172.59.213.214,100,269,True,2024-02-28 15:13:35,R_7LFiemtrwokj1hT,,,,,40.7119,-74.2203,anonymous,EN,Female,24-29,3,Dumplings,Caesar Salad,Classic Tomato Soup,Classic Shawarma Wrap,Original Berry Açaí,Traditional Vietnamese Coffee,Mojito,Original New York Style Pizza,One-Pan Chicken Alfredo Penne,Fried Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 15:15:28,2024-02-28 15:18:10,IP Address,103.137.210.91,100,162,True,2024-02-28 15:18:11,R_42tejCCtW6S2QhR,,,,,1.3673,103.8014,anonymous,EN,Female,24-29,3,Dumplings,Caesar Salad,Broccoli Cheddar Soup,Grilled Cheese,Tropical Mango Açaí,Iced Latte,Mojito,Margherita,Gnocchi Tomato Sauce,Classic Ramen Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 15:16:00,2024-02-28 15:18:56,IP Address,172.56.199.154,100,175,True,2024-02-28 15:18:56,R_6PirWA21qbINZYK,,,,,42.415,-71.0527,anonymous,EN,Male,24-29,3,Classic Humus,Caesar Salad,Classic Tomato Soup,Classic Shawarma Wrap,Original Berry Açaí,Macchiato Iced Coffee,Espresso Martini,Pepperoni & Cheese Pizza,Pesto Pasta,Classic Ramen Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 15:17:20,2024-02-28 15:19:22,IP Address,73.249.189.226,100,122,True,2024-02-28 15:19:23,R_1aaZzKPbrcGpeXt,,,,,42.3474,-71.1582,anonymous,EN,Male,18-23,3,,,,,,,,,,,,Classic Humus,Caesar Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Iced Latte,Mojito,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Pesto Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 15:16:01,2024-02-28 15:19:32,IP Address,73.234.146.77,100,211,True,2024-02-28 15:19:33,R_6075Mtf1qz4aOMm,,,,,42.2904,-71.0712,anonymous,EN,Female,24-29,3,Dumplings,Caesar Salad,Bistro French Onion Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Dry Martini,Pepperoni & Cheese Pizza,Pesto Pasta,Fried Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 15:21:42,2024-02-28 15:23:49,IP Address,155.33.135.31,100,126,True,2024-02-28 15:23:49,R_34bZ273Dl9bcDMA,,,,,42.3531,-71.0958,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Cherry Tomato & Basil Crostini,Caesar Salad,Broccoli Cheddar Soup,Mediterranean Veggie Sandwich,The Almond Butter Açaí Bowl,Iced Latte,Whiskey Sour,Hawaiian Pizza,Pesto Pasta,Eggplant Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 15:24:28,2024-02-28 15:27:38,IP Address,216.165.95.181,100,189,True,2024-02-28 15:27:38,R_1ATm6rp2ZbhdwNf,,,,,40.7359,-73.9904,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Garlic Bread,Caesar Salad,Classic Tomato Soup,Golden Crisp Grilled Cheese Delight,Tropical Mango Açaí,Iced Matcha,Mojito,Barbecue Chicken Pizza,Pesto Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Classic Tiramisu
2024-02-28 15:27:50,2024-02-28 15:30:00,IP Address,71.235.123.180,100,129,True,2024-02-28 15:30:01,R_61edeSkv8TYsyyZ,,,,,42.3399,-71.1245,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Dumplings,Sun-Kissed Veggie Pasta Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Traditional Vietnamese Coffee,Mojito,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Pesto Pasta,Staple Pad Thai Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 15:28:18,2024-02-28 15:31:57,IP Address,104.28.39.134,100,218,True,2024-02-28 15:31:57,R_73RCFB4wQjSFT7X,,,,,42.3737,-71.1284,anonymous,EN,Female,18-23,3,Garlic Bread,Caesar Salad,Classic Tomato Soup,Grilled Cheese,Tropical Mango Açaí,Iced Latte,Espresso Martini,Barbecue Chicken Pizza,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 15:37:21,2024-02-28 15:39:42,IP Address,49.36.111.50,100,141,True,2024-02-28 15:39:43,R_4JwvWZk4ywVL0EV,,,,,19.0748,72.8856,anonymous,EN,Male,18-23,3,Garlic Bread,Kale Salad with Cranberries,Bistro French Onion Soup,Original Grilled Chicken Sandwich,Original Berry Açaí,Traditional Vietnamese Coffee,Negroni,Pepperoni & Cheese Pizza,Spaghetti Carbonara,Classic Ramen Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 15:38:03,2024-02-28 15:40:20,IP Address,99.245.100.38,100,136,True,2024-02-28 15:40:20,R_1wh0RyEmTekbTET,,,,,43.5366,-79.6919,anonymous,EN,Male,18-23,3,,,,,,,,,,,,Dumplings,Caesar Salad,Classic Tomato Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Traditional Vietnamese Coffee,Whiskey Sour,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 15:41:38,2024-02-28 15:43:39,IP Address,216.165.95.140,100,120,True,2024-02-28 15:43:39,R_1gYIiU9ohoZUElx,,,,,40.7359,-73.9904,anonymous,EN,Male,18-23,3,Dumplings,Tomato Couscous Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Tropical Mango Açaí,Iced Latte,Mojito,Margherita,Spaghetti Carbonara,Classic Ramen Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 15:46:07,2024-02-28 15:48:53,IP Address,155.33.129.27,100,166,True,2024-02-28 15:48:54,R_6kREHsCjElqsUx4,,,,,42.3531,-71.0958,anonymous,EN,Male,24-29,2,,,,,,,,,,,,Garlic Bread,Classic Potato Salad,Classic Tomato Soup,Classic Shawarma Wrap,Original Berry Açaí,Macchiato Iced Coffee,Mojito,Original New York Style Pizza,Traditional Macaroni & Cheese,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 15:45:51,2024-02-28 15:49:18,IP Address,104.28.39.133,100,206,True,2024-02-28 15:49:18,R_3mxvNFlNr70UI14,,,,,41.8233,-71.441,anonymous,EN,Male,24-29,2,,,,,,,,,,,,Classic Humus,Kale Salad with Cranberries,Authentic Roasted Pumpkin Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Iced Latte,Espresso Martini,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Pesto Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 15:59:57,2024-02-28 16:01:28,IP Address,174.196.196.92,100,91,True,2024-02-28 16:01:28,R_72xZQSrrfNlZQBz,,,,,42.3364,-71.0326,anonymous,EN,Male,18-23,2,Garlic Bread,Classic Potato Salad,Classic Tomato Soup,Classic Shawarma Wrap,The Almond Butter Açaí Bowl,Iced Matcha,Mojito,Original New York Style Pizza,Spaghetti Carbonara,Classic Ramen Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 15:59:05,2024-02-28 16:02:42,IP Address,71.235.123.180,100,217,True,2024-02-28 16:02:42,R_523nZ1lWBxbTwop,,,,,42.3399,-71.1245,anonymous,EN,Female,18-23,5,,,,,,,,,,,,Garlic Bread,Sun-Kissed Veggie Pasta Salad,Broccoli Cheddar Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Iced Matcha,Mojito,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Pesto Pasta,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 16:01:59,2024-02-28 16:06:19,IP Address,172.56.196.68,100,260,True,2024-02-28 16:06:20,R_5mTR8xk2d3jQM5r,,,,,42.3531,-71.0958,anonymous,EN,Female,24-29,3,Dumplings,Classic Potato Salad,Bistro French Onion Soup,Bacon Lettuce Tomato Wrap,The Almond Butter Açaí Bowl,Macchiato Iced Coffee,Espresso Martini,Original New York Style Pizza,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Biscoff Banana Pudding,,,,,,,,,,,
2024-02-28 16:00:26,2024-02-28 16:07:38,IP Address,24.61.200.153,100,432,True,2024-02-28 16:07:38,R_1rHY3NgZdIB8fOj,,,,,42.3474,-71.1582,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Cherry Tomato & Basil Crostini,Sun-Kissed Veggie Pasta Salad,Authentic Roasted Pumpkin Soup,Classic Shawarma Wrap,Original Berry Açaí,Iced Latte,Negroni,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Gnocchi Tomato Sauce,Classic Ramen Noodles,Classic Tiramisu
2024-02-28 16:05:01,2024-02-28 16:08:53,IP Address,128.197.29.255,100,231,True,2024-02-28 16:08:53,R_6K3hZqXcIHNNMgJ,,,,,42.3464,-71.0975,anonymous,EN,Female,18-23,1,,,,,,,,,,,,Classic Humus,Tomato Couscous Salad,Bistro French Onion Soup,Classic Shawarma Wrap,Peanut Butter & Jam Açaí,Bold Awakening Black Coffee,Whiskey Sour,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Gnocchi Tomato Sauce,Crispy Stir-Fried Noodles with Soy Glaze,Classic Tiramisu
